11 11
1 1.000000e+000 0.000000e+000 0.000000e+000
2 0.000000e+000 1.000000e+000 0.000000e+000
3 0.000000e+000 0.000000e+000 0.000000e+000
4 0.000000e+000 3.333333e-001 0.000000e+000
5 0.000000e+000 6.666667e-001 0.000000e+000
6 2.000000e-001 8.000000e-001 0.000000e+000
7 4.000000e-001 6.000000e-001 0.000000e+000
8 6.000000e-001 4.000000e-001 0.000000e+000
9 8.000000e-001 2.000000e-001 0.000000e+000
10 6.666667e-001 0.000000e+000 0.000000e+000
11 3.333333e-001 0.000000e+000 0.000000e+000
1 102 3 4 
2 102 4 5 
3 102 5 2 
4 102 2 6 
5 102 6 7 
6 102 7 8 
7 102 8 9 
8 102 9 1 
9 102 1 10 
10 102 10 11 
11 102 11 3 
